0.828 	0.68 	0.584 	0.584 	 
0.848 	0.636 	0.348 	0.348 	 
0.912 	0.504 	0.428 	0.428 	 
0.812 	0.612 	0.448 	0.448 	 
0.88 	0.668 	0.54 	0.54 	 
0.872 	0.68 	0.508 	0.508 	 
0.884 	0.752 	0.608 	0.608 	 
0.868 	0.7 	0.44 	0.44 	 
0.876 	0.656 	0.44 	0.44 	 
0.904 	0.56 	0.172 	0.172 	 
0.832 	0.64 	0.588 	0.588 	 
0.848 	0.588 	0.484 	0.484 	 
0.892 	0.58 	0.464 	0.464 	 
0.868 	0.612 	0.392 	0.392 	 
0.9 	0.664 	0.34 	0.34 	 
0.892 	0.524 	0.456 	0.456 	 
0.92 	0.68 	0.58 	0.58 	 
0.872 	0.648 	0.476 	0.476 	 
0.848 	0.612 	0.44 	0.44 	 
0.86 	0.612 	0.472 	0.472 	 
0.9 	0.596 	0.408 	0.408 	 
0.856 	0.632 	0.6 	0.6 	 
0.936 	0.552 	0.516 	0.516 	 
0.892 	0.668 	0.612 	0.612 	 
0.92 	0.692 	0.316 	0.316 	 
0.92 	0.664 	0.576 	0.576 	 
0.936 	0.808 	0.696 	0.696 	 
0.904 	0.692 	0.564 	0.564 	 
0.896 	0.564 	0.396 	0.396 	 
0.896 	0.628 	0.296 	0.296 	 
0.912 	0.684 	0.496 	0.496 	 
0.888 	0.624 	0.564 	0.564 	 
0.932 	0.744 	0.684 	0.684 	 
0.876 	0.58 	0.5 	0.5 	 
0.904 	0.708 	0.364 	0.364 	 
0.9 	0.632 	0.48 	0.48 	 
0.916 	0.72 	0.632 	0.632 	 
0.912 	0.644 	0.604 	0.604 	 
0.892 	0.728 	0.648 	0.648 	 
0.896 	0.6 	0.392 	0.392 	 
0.864 	0.772 	0.64 	0.64 	 
0.892 	0.772 	0.616 	0.616 	 
0.896 	0.708 	0.66 	0.66 	 
0.916 	0.748 	0.7 	0.7 	 
0.9 	0.672 	0.596 	0.596 	 
0.904 	0.784 	0.684 	0.684 	 
0.928 	0.752 	0.744 	0.744 	 
0.9 	0.792 	0.64 	0.64 	 
0.88 	0.684 	0.568 	0.568 	 
0.924 	0.784 	0.732 	0.732 	 
0.848 	0.704 	0.64 	0.64 	 
0.9 	0.772 	0.696 	0.696 	 
0.884 	0.7 	0.544 	0.544 	 
0.888 	0.76 	0.748 	0.748 	 
0.9 	0.66 	0.292 	0.292 	 
0.896 	0.796 	0.54 	0.54 	 
0.92 	0.688 	0.584 	0.584 	 
0.876 	0.712 	0.684 	0.684 	 
